Date,Close
2013-06-03,0.337
2013-06-04,0.338
2013-06-05,0.33
2013-06-06,0.332
2013-06-07,0.337
2013-06-10,0.337
2013-06-11,0.331
2013-06-12,0.328
2013-06-13,0.335
2013-06-14,0.335
2013-06-17,0.338
2013-06-18,0.336
2013-06-19,0.346
2013-06-20,0.337
2013-06-21,0.336
2013-06-24,0.329
2013-06-25,0.332
2013-06-26,0.33
2013-06-27,0.327
2013-06-28,0.328
2013-07-01,0.329
2013-07-02,0.329
2013-07-03,0.33
2013-07-05,0.332
2013-07-08,0.331
2013-07-09,0.332
2013-07-10,0.337
2013-07-11,0.341
2013-07-12,0.342
2013-07-15,0.341
2013-07-16,0.343
2013-07-17,0.341
2013-07-18,0.339
2013-07-19,0.332
2013-07-22,0.332
2013-07-23,0.331
2013-07-24,0.331
2013-07-25,0.333
2013-07-26,0.331
2013-07-29,0.331
2013-07-30,0.336
2013-07-31,0.337
2013-08-01,0.342
2013-08-02,0.344
2013-08-05,0.346
2013-08-06,0.341
2013-08-07,0.341
2013-08-08,0.343
2013-08-09,0.338
2013-08-12,0.335
2013-08-13,0.336
2013-08-14,0.351
2013-08-15,0.353
2013-08-16,0.354
2013-08-19,0.349
2013-08-20,0.35
2013-08-21,0.349
2013-08-22,0.351
2013-08-23,0.351
2013-08-26,0.351
2013-08-27,0.347
2013-08-28,0.347
2013-08-29,0.346
2013-08-30,0.346
2013-09-03,0.346
2013-09-04,0.349
2013-09-05,0.35
2013-09-06,0.349
2013-09-09,0.355
2013-09-10,0.362
2013-09-11,0.368
2013-09-12,0.368
2013-09-13,0.37
2013-09-16,0.371
2013-09-17,0.372
2013-09-18,0.375
2013-09-19,0.373
2013-09-20,0.37
2013-09-23,0.367
2013-09-24,0.368
2013-09-25,0.369
2013-09-26,0.367
2013-09-27,0.365
2013-09-30,0.365
2013-10-01,0.365
2013-10-02,0.364
2013-10-03,0.361
2013-10-04,0.365
2013-10-07,0.365
2013-10-08,0.362
2013-10-09,0.357
2013-10-10,0.361
2013-10-11,0.358
2013-10-14,0.363
2013-10-15,0.361
2013-10-16,0.366
2013-10-17,0.366
2013-10-18,0.371
2013-10-21,0.372
2013-10-22,0.37
2013-10-23,0.363
2013-10-24,0.361
2013-10-25,0.357
2013-10-28,0.357
2013-10-29,0.357
2013-10-30,0.357
2013-10-31,0.356
2013-11-01,0.358
2013-11-04,0.347
2013-11-05,0.347
2013-11-06,0.349
2013-11-07,0.341
2013-11-08,0.365
2013-11-11,0.368
2013-11-12,0.369
2013-11-13,0.379
2013-11-14,0.38
2013-11-15,0.379
2013-11-18,0.37
2013-11-19,0.364
2013-11-20,0.359
2013-11-21,0.361
2013-11-22,0.358
2013-11-25,0.366
2013-11-26,0.369
2013-11-27,0.37
2013-11-29,0.368
2013-12-02,0.371
2013-12-03,0.371
2013-12-04,0.376
2013-12-05,0.37
2013-12-06,0.365
2013-12-09,0.359
2013-12-10,0.367
2013-12-11,0.363
2013-12-12,0.356
2013-12-13,0.354
2013-12-16,0.355
2013-12-17,0.356
2013-12-18,0.361
2013-12-19,0.363
2013-12-20,0.37
2013-12-23,0.372
2013-12-24,0.373
2013-12-26,0.369
2013-12-27,0.371
2013-12-30,0.376
2013-12-31,0.378
2014-01-02,0.374
2014-01-03,0.369
2014-01-06,0.374
2014-01-07,0.38
2014-01-08,0.386
2014-01-09,0.371
2014-01-10,0.371
2014-01-13,0.362
2014-01-14,0.373
2014-01-15,0.377
2014-01-16,0.379
2014-01-17,0.377
2014-01-21,0.378
2014-01-22,0.378
2014-01-23,0.376
2014-01-24,0.367
2014-01-27,0.364
2014-01-28,0.368
2014-01-29,0.364
2014-01-30,0.371
2014-01-31,0.37
2014-02-03,0.365
2014-02-04,0.367
2014-02-05,0.364
2014-02-06,0.369
2014-02-07,0.374
2014-02-10,0.375
2014-02-11,0.383
2014-02-12,0.397
2014-02-13,0.409
2014-02-14,0.422
2014-02-18,0.422
2014-02-19,0.428
2014-02-20,0.443
2014-02-21,0.439
2014-02-24,0.446
2014-02-25,0.444
2014-02-26,0.443
2014-02-27,0.438
2014-02-28,0.435
2014-03-03,0.433
2014-03-04,0.438
2014-03-05,0.441
2014-03-06,0.435
2014-03-07,0.435
2014-03-10,0.428
2014-03-11,0.433
2014-03-12,0.434
2014-03-13,0.42
2014-03-14,0.422
2014-03-17,0.422
2014-03-18,0.432
2014-03-19,0.439
2014-03-20,0.44
2014-03-21,0.439
2014-03-24,0.437
2014-03-25,0.437
2014-03-26,0.427
2014-03-27,0.421
2014-03-28,0.424
2014-03-31,0.424
2014-04-01,0.442
2014-04-02,0.439
2014-04-03,0.443
2014-04-04,0.43
2014-04-07,0.431
2014-04-08,0.447
2014-04-09,0.446
2014-04-10,0.435
2014-04-11,0.429
2014-04-14,0.434
2014-04-15,0.437
2014-04-16,0.438
2014-04-17,0.439
2014-04-21,0.443
2014-04-22,0.447
2014-04-23,0.452
2014-04-24,0.456
2014-04-25,0.443
2014-04-28,0.442
2014-04-29,0.443
2014-04-30,0.437
2014-05-01,0.44
2014-05-02,0.436
2014-05-05,0.441
2014-05-06,0.432
2014-05-07,0.433
2014-05-08,0.438
2014-05-09,0.427
2014-05-12,0.44
2014-05-13,0.433
2014-05-14,0.429
2014-05-15,0.426
2014-05-16,0.425
2014-05-19,0.439
